gene_set_id	phenotype	definition	gene_symbol	ensembl_gene_id	evidence	effect_direction	effect_beta	p_value	source_id	notes
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CMIP	ENSG00000153815	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNKSR1	ENSG00000142675	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNKSR2	ENSG00000149970	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNNM2	ENSG00000148842	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNOT1	ENSG00000125107	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNOT2	ENSG00000111596	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNOT3	ENSG00000088038	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNOT9	ENSG00000144580	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNPY3	ENSG00000137161	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNTN3	ENSG00000113805	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNTN4	ENSG00000144619	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNTNAP1	ENSG00000108797	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CNTNAP2	ENSG00000174469	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COA3	ENSG00000183978	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COA5	ENSG00000183513	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COASY	ENSG00000068120	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG1	ENSG00000166685	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG3	ENSG00000136152	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG4	ENSG00000103051	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG5	ENSG00000164597	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG6	ENSG00000133103	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG7	ENSG00000168434	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COG8	ENSG00000213380	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL10A1	ENSG00000123500	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL11A1	ENSG00000060718	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL11A2	ENSG00000204248	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL18A1	ENSG00000182871	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL1A1	ENSG00000108821	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL1A2	ENSG00000164692	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL25A1	ENSG00000188517	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL2A1	ENSG00000139219	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL4A1	ENSG00000187498	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL4A2	ENSG00000134871	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL4A3	ENSG00000169031	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL4A3BP	ENSG00000113163	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL4A4	ENSG00000081052	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL4A6	ENSG00000197565	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL6A1	ENSG00000142156	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL6A3	ENSG00000163359	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL9A1	ENSG00000112280	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL9A2	ENSG00000049089	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COL9A3	ENSG00000092758	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COLEC10	ENSG00000184374	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COLEC11	ENSG00000118004	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COMP	ENSG00000105664	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COPB1	ENSG00000129083	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COPB2	ENSG00000184432	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COQ2	ENSG00000173085	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COQ4	ENSG00000167113	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COQ5	ENSG00000110871	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COQ8A	ENSG00000163050	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COQ9	ENSG00000088682	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COX10	ENSG00000006695	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COX11	ENSG00000166260	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COX14	ENSG00000178449	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COX15	ENSG00000014919	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COX6B1	ENSG00000126267	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	COX7B	ENSG00000131174	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CP	ENSG00000047457	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPA6	ENSG00000165078	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPD	ENSG00000108582	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPE	ENSG00000109472	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPLX1	ENSG00000168993	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPS1	ENSG00000021826	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPSF3	ENSG00000119203	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CPXCR1	ENSG00000147183	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRADD	ENSG00000169372	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRB1	ENSG00000134376	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRB2	ENSG00000148204	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRBN	ENSG00000113851	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CREBBP	ENSG00000005339	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRELD1	ENSG00000163703	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRLF2	ENSG00000205755	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRMP1	ENSG00000072832	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRNKL1	ENSG00000101343	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRX	ENSG00000105392	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYAA	ENSG00000160202	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYBA1	ENSG00000108255	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYBA4	ENSG00000196431	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYBB1	ENSG00000100122	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYBB2	ENSG00000244752	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYBB3	ENSG00000100053	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYGC	ENSG00000163254	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CRYGD	ENSG00000118231	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSDE1	ENSG00000009307	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSF1R	ENSG00000182578	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSF2RA	ENSG00000198223	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSNK1G1	ENSG00000169118	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSNK2A1	ENSG00000101266	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSNK2B	ENSG00000204435	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSPP1	ENSG00000104218	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSTB	ENSG00000160213	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CSTF2	ENSG00000101811	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTBP1	ENSG00000159692	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTC1	ENSG00000178971	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTCF	ENSG00000102974	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTDP1	ENSG00000060069	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTGF	ENSG00000118523	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTNNA2	ENSG00000066032	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTNNB1	ENSG00000168036	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTNND1	ENSG00000198561	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTNND2	ENSG00000169862	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTNS	ENSG00000040531	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTPS2	ENSG00000047230	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTR9	ENSG00000198730	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTSA	ENSG00000064601	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTSD	ENSG00000117984	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTSF	ENSG00000174080	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTSK	ENSG00000143387	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTTNBP2	ENSG00000077063	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CTU2	ENSG00000174177	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CUL3	ENSG00000036257	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CUL4B	ENSG00000158290	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CUL7	ENSG00000044090	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CUX1	ENSG00000257923	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CUX2	ENSG00000111249	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CWC27	ENSG00000153015	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CWF19L1	ENSG00000095485	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CXORF56	ENSG00000018610	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CXORF58	ENSG00000165182	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYB5R3	ENSG00000100243	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYC1	ENSG00000179091	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYFIP1	ENSG00000273749	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYFIP2	ENSG00000055163	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYP1B1	ENSG00000138061	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYP27A1	ENSG00000135929	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYP2U1	ENSG00000155016	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	CYP7B1	ENSG00000172817	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	D2HGDH	ENSG00000180902	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DAB1	ENSG00000173406	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DACT1	ENSG00000165617	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DAG1	ENSG00000173402	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DAGLA	ENSG00000134780	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DALRD3	ENSG00000178149	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DAP3	ENSG00000132676	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DARS	ENSG00000115866	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DARS2	ENSG00000117593	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DBT	ENSG00000137992	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCAF17	ENSG00000115827	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCC	ENSG00000187323	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCHS1	ENSG00000166341	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCHS2	ENSG00000197410	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCPS	ENSG00000110063	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCTN1	ENSG00000204843	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DCX	ENSG00000077279	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDB1	ENSG00000167986	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDB2	ENSG00000134574	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDC	ENSG00000132437	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDHD1	ENSG00000100523	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDHD2	ENSG00000085788	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDOST	ENSG00000244038	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDR2	ENSG00000162733	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX11	ENSG00000013573	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX17	ENSG00000100201	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX23	ENSG00000174243	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX39B	ENSG00000198563	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX3X	ENSG00000215301	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX53	ENSG00000184735	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX58	ENSG00000107201	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX59	ENSG00000118197	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DDX6	ENSG00000110367	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DEAF1	ENSG00000177030	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DECR1	ENSG00000104325	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DEGS1	ENSG00000143753	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DENND5A	ENSG00000184014	2	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DENND5B	ENSG00000170456	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DEPDC5	ENSG00000100150	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DGKH	ENSG00000102780	1	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DHCR24	ENSG00000116133	3	.	.	.	panelapp_intellectual_disability_v11.26	.
panelapp_intellectual_disability_all	Intellectual disability	All genes in the versioned PanelApp panel	DHCR7	ENSG00000172893	3	.	.	.	panelapp_intellectual_disability_v11.26	.
